Champoin Type,Team A,Team B,Team A Score,Team B Score,Match Time,day
الدوري الإسباني,إلتشي,سيلتا فيجو,0,1,19:30,01/06/2023
الدوري الإسباني,فالنسيا,قادش,0,1,22:00,01/06/2023
الدوري الإسباني,فياريال,ريال مدريد,2,1,17:15,01/07/2023
الدوري الإسباني,مايوركا,بلد الوليد,1,0,19:30,01/07/2023
الدوري الإسباني,اسبانيول,جيرونا,2,2,22:00,01/07/2023
الدوري الإسباني,الميريا,ريال سوسيداد,0,2,15:00,01/08/2023
الدوري الإسباني,رايو فاييكانو,ريال بيتيس,1,2,17:15,01/08/2023
الدوري الإسباني,اشبيلية,خيتافي,2,1,19:30,01/08/2023
الدوري الإسباني,اتلتيكو مدريد,برشلونة,0,1,22:00,01/08/2023
الدوري الإسباني,أتلتيك بلباو,أوساسونا,0,0,22:00,01/09/2023
بطولة العالم لكرة اليد,فرنسا,بولندا,26,24,22:00,01/11/2023
بطولة العالم لكرة اليد,السعودية,سلوفينيا,19,33,19:00,01/12/2023
بطولة العالم لكرة اليد,كاب فيردي,أوروجواي,33,25,19:00,01/12/2023
بطولة العالم لكرة اليد,المجر,كوريا الجنوبية,35,27,19:00,01/12/2023
بطولة العالم لكرة اليد,تشيلي,إيران,24,25,19:00,01/12/2023
بطولة العالم لكرة اليد,إسبانيا,الجبل الأسود,30,25,21:30,01/12/2023
بطولة العالم لكرة اليد,السويد,البرازيل,26,18,21:30,01/12/2023
بطولة العالم لكرة اليد,ايسلندا,البرتغال,30,26,21:30,01/12/2023
الدوري الإسباني,سيلتا فيجو,فياريال,1,1,22:00,01/13/2023
بطولة العالم لكرة اليد,الأرجنتين,هولندا,19,29,19:00,01/13/2023
بطولة العالم لكرة اليد,البحرين,تونس,27,27,19:00,01/13/2023
بطولة العالم لكرة اليد,المغرب,أمريكا,27,28,19:00,01/13/2023
بطولة العالم لكرة اليد,ألمانيا,قطر,31,27,19:00,01/13/2023
بطولة العالم لكرة اليد,صربيا,الجزائر,36,27,21:30,01/13/2023
بطولة العالم لكرة اليد,النرويج,مقدونيا,39,27,21:30,01/13/2023
بطولة العالم لكرة اليد,الدنمارك,بلجيكا,43,28,21:30,01/13/2023
بطولة العالم لكرة اليد,مصر,كرواتيا,31,22,21:30,01/13/2023
الدوري الإسباني,بلد الوليد,رايو فاييكانو,0,1,15:00,01/14/2023
الدوري الإسباني,جيرونا,اشبيلية,2,1,17:15,01/14/2023
الدوري الإسباني,أوساسونا,مايوركا,1,0,19:30,01/14/2023
الدوري الإسباني,ريال سوسيداد,أتلتيك بلباو,3,1,22:00,01/14/2023
بطولة العالم لكرة اليد,فرنسا,السعودية,41,23,19:00,01/14/2023
بطولة العالم لكرة اليد,البرازيل,أوروجواي,35,24,19:00,01/14/2023
بطولة العالم لكرة اليد,الجبل الأسود,إيران,34,31,19:00,01/14/2023
بطولة العالم لكرة اليد,البرتغال,كوريا الجنوبية,32,24,19:00,01/14/2023
بطولة العالم لكرة اليد,إسبانيا,تشيلي,34,26,21:30,01/14/2023
بطولة العالم لكرة اليد,ايسلندا,المجر,28,30,21:30,01/14/2023
بطولة العالم لكرة اليد,بولندا,سلوفينيا,23,32,21:30,01/14/2023
بطولة العالم لكرة اليد,السويد,كاب فيردي,34,27,21:30,01/14/2023
الدوري الإسباني,خيتافي,اسبانيول,1,2,15:00,01/15/2023
الدوري الإسباني,الميريا,اتلتيكو مدريد,1,1,17:15,01/15/2023
بطولة العالم لكرة اليد,ألمانيا,صربيا,34,33,19:00,01/15/2023
بطولة العالم لكرة اليد,مصر,المغرب,30,19,19:00,01/15/2023
بطولة العالم لكرة اليد,مقدونيا,هولندا,24,34,19:00,01/15/2023
بطولة العالم لكرة اليد,بلجيكا,تونس,31,29,19:00,01/15/2023
بطولة العالم لكرة اليد,النرويج,الأرجنتين,32,21,21:30,01/15/2023
بطولة العالم لكرة اليد,الدنمارك,البحرين,36,21,21:30,01/15/2023
بطولة العالم لكرة اليد,قطر,الجزائر,29,24,21:30,01/15/2023
بطولة العالم لكرة اليد,كرواتيا,أمريكا,40,22,21:30,01/15/2023
كأس مصر,الزمالك,بيراميدز,1,1,18:00,01/16/2023
الدوري الإسباني,قادش,إلتشي,1,1,22:00,01/16/2023
بطولة العالم لكرة اليد,سلوفينيا,فرنسا,31,35,19:00,01/16/2023
بطولة العالم لكرة اليد,كوريا الجنوبية,ايسلندا,25,38,19:00,01/16/2023
بطولة العالم لكرة اليد,الجبل الأسود,تشيلي,35,33,19:00,01/16/2023
بطولة العالم لكرة اليد,البرازيل,كاب فيردي,30,28,19:00,01/16/2023
بطولة العالم لكرة اليد,إيران,إسبانيا,22,35,21:30,01/16/2023
بطولة العالم لكرة اليد,أوروجواي,السويد,12,47,21:30,01/16/2023
بطولة العالم لكرة اليد,بولندا,السعودية,27,24,21:30,01/16/2023
بطولة العالم لكرة اليد,البرتغال,المجر,27,20,21:30,01/16/2023
كأس مصر,الأهلي,سموحة,3,1,18:00,01/17/2023
بطولة العالم لكرة اليد,الجزائر,ألمانيا,21,37,19:00,01/17/2023
بطولة العالم لكرة اليد,أمريكا,مصر,16,35,19:00,01/17/2023
بطولة العالم لكرة اليد,مقدونيا,الأرجنتين,26,35,19:00,01/17/2023
بطولة العالم لكرة اليد,بلجيكا,البحرين,28,30,19:00,01/17/2023
بطولة العالم لكرة اليد,هولندا,النرويج,26,27,21:30,01/17/2023
بطولة العالم لكرة اليد,تونس,الدنمارك,21,34,21:30,01/17/2023
بطولة العالم لكرة اليد,قطر,صربيا,24,34,21:30,01/17/2023
بطولة العالم لكرة اليد,كرواتيا,المغرب,36,24,21:30,01/17/2023
بطولة العالم لكرة اليد,تشيلي,السعودية,26,23,16:30,01/18/2023
بطولة العالم لكرة اليد,إيران,سلوفينيا,21,38,16:30,01/18/2023
بطولة العالم لكرة اليد,البرتغال,البرازيل,28,28,16:30,01/18/2023
بطولة العالم لكرة اليد,أوروجواي,كوريا الجنوبية,30,37,19:00,01/18/2023
بطولة العالم لكرة اليد,فرنسا,الجبل الأسود,35,24,19:00,01/18/2023
بطولة العالم لكرة اليد,كاب فيردي,ايسلندا,30,40,19:00,01/18/2023
بطولة العالم لكرة اليد,إسبانيا,بولندا,27,23,21:30,01/18/2023
بطولة العالم لكرة اليد,السويد,المجر,37,28,21:30,01/18/2023
بطولة العالم لكرة اليد,قطر,هولندا,30,32,16:30,01/19/2023
بطولة العالم لكرة اليد,أمريكا,البحرين,27,32,16:30,01/19/2023
بطولة العالم لكرة اليد,الجزائر,مقدونيا,25,40,16:30,01/19/2023
بطولة العالم لكرة اليد,مصر,بلجيكا,33,28,19:00,01/19/2023
بطولة العالم لكرة اليد,ألمانيا,الأرجنتين,39,19,19:00,01/19/2023
بطولة العالم لكرة اليد,المغرب,تونس,25,30,19:00,01/19/2023
بطولة العالم لكرة اليد,النرويج,صربيا,31,28,21:30,01/19/2023
بطولة العالم لكرة اليد,الدنمارك,كرواتيا,32,32,21:30,01/19/2023
الدوري الإسباني,مايوركا,سيلتا فيجو,1,0,22:00,01/20/2023
بطولة العالم لكرة اليد,تشيلي,أوروجواي,34,24,16:30,01/20/2023
بطولة العالم لكرة اليد,سلوفينيا,إسبانيا,26,31,16:30,01/20/2023
بطولة العالم لكرة اليد,كاب فيردي,البرتغال,23,35,16:30,01/20/2023
بطولة العالم لكرة اليد,السعودية,كوريا الجنوبية,23,34,19:00,01/20/2023
بطولة العالم لكرة اليد,إيران,فرنسا,29,41,19:00,01/20/2023
بطولة العالم لكرة اليد,البرازيل,المجر,25,28,19:00,01/20/2023
